architecture,run,val_strategy_test_acc,test_strategy_test_acc,gap
shake_shake_32d,0,94.97923063030522,95.43073866714828,0.45150803684305174
shake_shake_32d,1,95.22904218721708,95.33767879775483,0.10863661053775786
shake_shake_32d,2,95.21660649819496,95.56859205776172,0.3519855595667565
shake_shake_32d,3,95.63715688056718,95.63715688056718,0.0
shake_shake_32d,4,95.07558613198154,95.41957092423284,0.3439847922513053
shake_shake_32d,5,95.29198732458126,95.46401086464464,0.17202354006337828
shake_shake_32d,6,95.12700414339758,95.12700414339758,0.0
shake_shake_32d,7,95.44509715318571,95.44509715318571,0.0
shake_shake_32d,8,95.31546168426752,95.66747901435149,0.3520173300839673
shake_shake_32d,9,95.2346570397112,95.33393501805054,0.09927797833934449
shake_shake_32d,10,95.56716821335256,95.56716821335256,0.0
shake_shake_32d,11,95.40816326530611,95.53571428571428,0.12755102040816269
shake_shake_32d,12,95.437641723356,95.437641723356,0.0
shake_shake_32d,13,95.13913986266716,95.13913986266716,0.0
shake_shake_32d,14,95.5404178019982,95.61307901907357,0.07266121707536399
shake_shake_32d,15,95.3120741346416,95.3120741346416,0.0
shake_shake_32d,16,95.79824323100608,95.91596486462012,0.11772163361403898
shake_shake_32d,17,95.4052098408104,95.62228654124458,0.21707670043417693
shake_shake_32d,18,95.4882459312839,95.4882459312839,0.0
shake_shake_32d,19,95.53417445765636,95.53417445765636,0.0
shake_shake_32d,20,95.38070605318087,95.46238315636629,0.0816771031854131
shake_shake_32d,21,95.61085972850678,95.61085972850678,0.0
shake_shake_32d,22,95.2544828835356,95.49900380365877,0.24452092012316484
shake_shake_32d,23,95.51711646440862,95.51711646440862,0.0
shake_shake_32d,24,95.06644820680866,95.08465319497542,0.018204988166758085
shake_shake_32d,25,95.14633702963096,95.48263952008726,0.3363024904563048
shake_shake_32d,26,95.53732419761992,95.53732419761992,0.0
shake_shake_32d,27,95.24154808302366,95.39563128795432,0.1540832049306573
shake_shake_32d,28,95.7678138197502,95.7678138197502,0.0
shake_shake_32d,29,95.21962658969964,95.21962658969964,0.0
resnet_basic_32,0,93.35089472249976,93.52348078844582,0.17258606594606363
resnet_basic_32,1,92.7735781137509,93.1425485961123,0.36897048236140506
resnet_basic_32,2,92.95034432765496,93.59369336716202,0.6433490395070578
resnet_basic_32,3,92.58286542293062,92.67342872667994,0.09056330374932031
resnet_basic_32,4,92.42973708068902,92.42973708068902,0.0
resnet_basic_32,5,93.27525183773484,93.48398221254196,0.20873037480711787
resnet_basic_32,6,93.4978386167147,93.4978386167147,0.0
resnet_basic_32,7,93.06939662982424,93.06939662982424,0.0
resnet_basic_32,8,93.2284603562065,93.2284603562065,0.0
resnet_basic_32,9,92.89780428300352,93.24116743471582,0.34336315171229614
resnet_basic_32,10,93.22784810126582,93.54430379746836,0.31645569620253866
resnet_basic_32,11,92.93893129770991,92.98436932024718,0.04543802253726881
resnet_basic_32,12,93.1524197195839,93.3152419719584,0.16282225237449666
resnet_basic_32,13,93.3925496238557,93.3925496238557,0.0
resnet_basic_32,14,93.33152370611654,93.33152370611654,0.0
resnet_basic_32,15,93.07936507936508,93.07936507936508,0.0
resnet_basic_32,16,92.9526563064691,93.24177809902422,0.2891217925551217
resnet_basic_32,17,92.92091261610604,93.34475606456849,0.42384344846244915
resnet_basic_32,18,93.68411486732096,93.68411486732096,0.0
resnet_basic_32,19,93.1396506471174,93.1758530183727,0.03620237125529968
resnet_basic_32,20,92.8319304914472,93.19395420400036,0.36202371255316734
resnet_basic_32,21,92.8765880217786,93.35753176043558,0.4809437386569755
resnet_basic_32,22,93.36303300300028,93.36303300300028,0.0
resnet_basic_32,23,92.9069662107075,93.16967116586648,0.2627049551589806
resnet_basic_32,24,93.30324909747291,93.30324909747291,0.0
resnet_basic_32,25,92.86940804338003,93.14053321283326,0.27112516945322795
resnet_basic_32,26,93.49352051835854,93.49352051835854,0.0
resnet_basic_32,27,93.21896162528216,93.21896162528216,0.0
resnet_basic_32,28,93.10877065552933,93.10877065552933,0.0
resnet_basic_32,29,93.08404429115993,93.29279361045562,0.2087493192956913
resnet_basic_44,0,93.1967878733195,93.1967878733195,0.0
resnet_basic_44,1,93.8118138099991,93.91162326467652,0.09980945467742686
resnet_basic_44,2,93.17851959361391,93.8044267053701,0.6259071117561916
resnet_basic_44,3,93.33152615885064,93.394777265745,0.06325110689436997
resnet_basic_44,4,94.37260972500457,94.37260972500457,0.0
resnet_basic_44,5,93.67732558139537,93.67732558139537,0.0
resnet_basic_44,6,93.71423380870198,93.71423380870198,0.0
resnet_basic_44,7,93.77034358047015,93.77034358047015,0.0
resnet_basic_44,8,93.49031730157289,93.7267024274934,0.2363851259205063
resnet_basic_44,9,93.86792452830188,93.86792452830188,0.0
resnet_basic_44,10,93.7635771180304,93.881245474294,0.11766835626360717
resnet_basic_44,11,93.28883276204222,93.44217932527512,0.1533465632329012
resnet_basic_44,12,93.29766007618356,93.4427716306911,0.14511155450753677
resnet_basic_44,13,93.46738240378492,93.46738240378492,0.0
resnet_basic_44,14,93.4395077368564,93.4395077368564,0.0
resnet_basic_44,15,93.59971072138852,93.59971072138852,0.0
resnet_basic_44,16,93.6241610738255,93.6241610738255,0.0
resnet_basic_44,17,93.94352129301734,93.94352129301734,0.0
resnet_basic_44,18,93.6538113344197,94.11551692920514,0.4617055947854425
resnet_basic_44,19,93.34666424286492,93.50118160334485,0.1545173604799288
resnet_basic_44,20,93.5693641618497,93.5693641618497,0.0
resnet_basic_44,21,93.9074292988997,93.9074292988997,0.0
resnet_basic_44,22,93.75340971085652,93.9261683942535,0.17275868339697809
resnet_basic_44,23,93.73985206566842,93.92928017319142,0.18942810752299977
resnet_basic_44,24,93.21464256517396,93.64156599146152,0.4269234262875585
resnet_basic_44,25,93.54547913098352,93.77986117371316,0.23438204272963503
resnet_basic_44,26,93.41749323715058,93.8863841298467,0.4688908926961233
resnet_basic_44,27,93.66642573183954,93.68449584387425,0.018070112034706654
resnet_basic_44,28,93.42986425339366,93.61085972850678,0.18099547511312153
resnet_basic_44,29,94.21965317919076,94.21965317919076,0.0
