val_trial,test_trial,new_trial,val_test_acc,test_test_acc,new_test_acc,val_cifar101_acc,test_cifar101_acc,new_cifar101_acc,n_trials,architecture,run,source
10,27,10,94.08738039357284,94.30402599747246,94.08738039357284,86.2,85.75,86.2,30,mobilenetv2,0,random
7,7,22,94.38344977769712,94.38344977769712,93.96606478540969,87.05,87.05,87.5,30,mobilenetv2,1,random
25,21,17,94.76786361987668,94.86760972071092,94.63184620964816,87.25,87.0,87.35,29,mobilenetv2,2,random
21,23,21,94.54297407912688,94.85220554797635,94.54297407912688,87.95,86.75,87.95,30,mobilenetv2,3,random
14,13,13,94.30717712010136,94.3524300841705,94.3524300841705,86.45,87.35,87.35,29,mobilenetv2,4,random
26,26,26,94.3786443148688,94.3786443148688,94.3786443148688,87.15,87.15,87.15,30,mobilenetv2,5,random
10,10,12,94.65173005691572,94.65173005691572,94.62462733760954,86.7,86.7,87.3,30,mobilenetv2,6,random
4,4,4,94.5985005871195,94.5985005871195,94.5985005871195,87.35,87.35,87.35,30,mobilenetv2,7,random
4,4,4,94.30431244914564,94.30431244914564,94.30431244914564,87.7,87.7,87.7,29,mobilenetv2,8,random
8,8,8,94.3064369900272,94.3064369900272,94.3064369900272,87.1,87.1,87.1,28,mobilenetv2,9,random
26,20,20,94.03603603603604,94.27927927927928,94.27927927927928,87.15,87.25,87.25,28,mobilenetv2,10,random
26,26,26,94.52591310684032,94.52591310684032,94.52591310684032,87.15,87.15,87.15,29,mobilenetv2,11,random
8,2,8,94.06281111412798,94.33432889854284,94.06281111412798,87.3,87.0,87.3,29,mobilenetv2,12,random
25,23,23,94.08675178846327,94.3674726070814,94.3674726070814,87.3,87.3,87.3,30,mobilenetv2,13,random
3,3,3,94.88502625384754,94.88502625384754,94.88502625384754,87.35,87.35,87.35,30,mobilenetv2,14,random
12,0,0,94.48462929475588,94.50271247739602,94.50271247739602,87.0,87.55,87.55,20,mobilenetv2,15,random
7,7,16,94.96461622210126,94.96461622210126,94.39303211758302,86.4,86.4,87.1,20,mobilenetv2,16,random
13,7,18,94.23425054308473,94.42433019551048,94.22519913106444,86.85,86.65,87.5,20,mobilenetv2,17,random
4,4,4,93.59913208570654,93.59913208570654,93.59913208570654,87.45,87.45,87.45,20,mobilenetv2,18,random
4,13,4,94.35182654641524,94.36093650359844,94.35182654641524,87.8,86.95,87.8,20,mobilenetv2,19,random
19,19,19,94.70060693903432,94.70060693903432,94.70060693903432,86.85,86.85,86.85,20,mobilenetv2,20,random
9,0,0,94.1468253968254,94.43542568542568,94.43542568542568,86.95,87.2,87.2,20,mobilenetv2,21,random
9,9,9,94.20486393635296,94.20486393635296,94.20486393635296,87.35,87.35,87.35,20,mobilenetv2,22,random
12,12,6,94.22290852938504,94.22290852938504,93.98673812335362,86.85,86.85,86.9,20,mobilenetv2,23,random
