architecture,run,trial,val_acc,test_acc,train_seed,lr,weight_decay,warmup_ratio,num_epochs,selected_by_val,selected_by_test
albert-base,0,0,80.85106382978724,81.75713486289871,1224310197,8.875328751278933e-06,0.0022766236114423,0.089214634116964,9,,
albert-base,0,1,79.50727883538634,80.07834359261332,1966501037,5.146816276799649e-05,0.0019771236319104,0.1110698608835787,4,,
albert-base,0,2,73.06830907054871,73.53105763850029,2018032837,4.647747511081255e-05,1.6687194103848325e-05,0.0376952494778915,7,,
albert-base,0,3,81.91489361702128,81.81309457190822,740877097,1.531137285357862e-05,1.9219036436334862e-05,0.0231027613987575,5,,
albert-base,0,4,81.41097424412094,81.42137660884164,891845848,8.929873860996545e-06,0.000117452797497,0.0606356924437649,9,,
albert-base,0,5,79.84322508398657,81.42137660884164,924160728,6.1557282963712295e-06,0.0433980312230495,0.1554623251745332,4,,
albert-base,0,6,78.72340425531915,81.58925573587017,493538179,1.9078456480286424e-05,0.0022301424162724,0.1344172400125856,2,,
albert-base,0,7,70.49272116461366,70.11751538891998,681593269,8.075846082315382e-05,0.0067583277520832,0.1960453080132108,4,,
albert-base,0,8,82.13885778275476,81.64521544487968,1239346311,8.899019780898444e-06,0.0427082830197139,0.1157475420416301,5,,
albert-base,0,9,70.49272116461366,70.11751538891998,462974602,8.864321942572731e-05,1.4931405206159086e-05,0.0444781669811572,4,,
albert-base,0,10,70.49272116461366,70.11751538891998,1670918498,6.417406268484993e-05,0.0003023742319223,0.0241841040593395,6,,
albert-base,0,11,80.96304591265398,78.62339115836598,1964065894,5.161348949590601e-05,2.6451437369360995e-05,0.015316069191222,3,,
albert-base,0,12,81.57894736842105,81.47733631785114,673840323,2.454613769628497e-05,0.0034624282633681,0.1861787807164383,10,,
albert-base,0,13,75.53191489361703,77.56015668718523,77670980,8.559916344098974e-05,0.0003236154541893,0.1324280113977141,2,,
albert-base,0,14,80.51511758118701,82.26077224398433,502218221,6.51282374628257e-06,0.0003615587332165,0.0263746386192451,8,,
albert-base,0,15,77.54759238521837,80.41410184667039,646629893,7.220971115565036e-06,0.0021759066295777,0.0511030022797987,2,,
albert-base,0,16,70.49272116461366,70.11751538891998,2045989220,8.953408326987315e-05,0.0849817939899975,0.01404944742321,9,,
albert-base,0,17,80.01119820828667,81.14157806379407,576488015,5.721366760315894e-06,0.0010704944424812,0.1665298150357754,10,,
albert-base,0,18,80.73908174692049,82.1488528259653,761984693,2.4637701735047577e-05,1.5447138416818588e-05,0.0140886180838637,10,,
albert-base,0,19,81.8589025755879,81.19753777280359,1327093646,1.3149859974515857e-05,0.0004804785193836,0.1318421277797918,8,,
albert-base,0,20,78.83538633818588,78.67935086737549,1767442507,6.19812779920221e-05,0.0018733579470772,0.0934044056056856,4,,
albert-base,0,21,81.13101903695409,81.53329602686065,2035634109,8.34646166660604e-06,8.018162491656631e-05,0.1695239522695458,7,,
albert-base,0,22,70.49272116461366,70.11751538891998,228627383,5.55874730154399e-05,0.0471900286648358,0.0927497571861321,4,,
albert-base,0,23,79.17133258678611,80.97369893676553,1255531684,2.214926922076229e-05,6.993673444966572e-05,0.0968690275453855,2,,
albert-base,0,24,70.49272116461366,70.11751538891998,921798241,6.607028519099217e-05,0.0015407938718669,0.0153115673968553,5,,
albert-base,0,25,80.51511758118701,81.53329602686065,1901622938,1.9914130934854243e-05,0.0402903329578654,0.1908420033092549,2,,
albert-base,0,26,81.07502799552071,81.02965864577504,1071762664,2.9947897916343573e-05,4.249318150112391e-05,0.0062557799222628,6,,
albert-base,0,27,78.83538633818588,78.51147174034695,763718800,5.55763730061029e-05,0.0003179875429869,0.0264306187314064,5,,
albert-base,0,28,82.30683090705487,82.1488528259653,304963119,9.360234778752415e-06,0.0032980918778561,0.0588536268439465,10,,
albert-base,0,29,81.6909294512878,81.64521544487968,771839868,2.5059574350386805e-05,0.0003934923333483,0.0009007225268153,8,,
albert-base,1,0,77.84846732215154,77.05202312138728,1192313578,7.699291678861103e-05,0.0852973792879143,0.1981564168906575,8,,
albert-base,1,1,82.01272411798728,78.95953757225433,1583679731,3.385402704711433e-05,0.0824810903502765,0.0715652126455663,2,,
albert-base,1,2,81.43435511856565,81.21387283236994,1105710597,5.492770796466479e-06,0.013779689140946,0.0670839659855509,5,,
albert-base,1,3,80.91382301908618,80.46242774566474,726605756,1.9172661370201523e-05,9.592371503034362e-05,0.0467932823767352,10,,
albert-base,1,4,81.31868131868131,81.44508670520231,263001755,1.7600867220598932e-05,0.0027399812818142,0.168146650277672,6,,
albert-base,1,5,81.89705031810296,79.59537572254335,498963912,6.2147154678028325e-06,2.3312357442111008e-05,0.027277868602593,3,,
