architecture,run,trial,val_acc,test_acc,train_seed,lr,weight_decay,warmup_ratio,num_epochs,selected_by_val,selected_by_test
albert-base,0,0,83.88814913448735,84.68708388814913,1985864529,3.661417771182446e-05,0.0085558390986944,0.1946457706121799,10,,
albert-base,0,1,85.35286284953395,83.3555259653795,1089353779,3.277572267918019e-05,3.575090271175584e-05,0.0804570864803921,5,,
albert-base,0,2,72.43675099866844,78.02929427430094,1779201265,6.196644913252153e-06,6.162510743591572e-05,0.1651079477825794,7,,
albert-base,0,3,84.55392809587217,82.9560585885486,1756711423,1.775658099707529e-05,0.0026890685997155,0.0820782039150012,5,,
albert-base,0,4,82.68974700399467,81.491344873502,1450124181,1.1004319714318949e-05,0.0026501346678926,0.0803501240038188,2,,
albert-base,0,5,83.62183754993342,83.48868175765645,1637894785,1.538137282860539e-05,0.0046310906238824,0.0970004701644716,8,,
albert-base,0,6,78.96138482023969,78.42876165113182,1768243321,6.503073987738448e-06,2.7133548645867123e-05,0.1731399038672122,10,,
albert-base,0,7,79.49400798934754,81.89081225033289,1081120877,1.0930649118433862e-05,0.0003712955171481,0.0377360730820691,4,,
albert-base,0,8,83.88814913448735,84.02130492676432,634038228,2.419233256717856e-05,0.0251908307492731,0.1331664700587883,4,,
albert-base,0,9,81.62450066577897,80.55925432756325,296711550,9.999516864022472e-05,0.065255292436588,0.1625679322522681,4,,
albert-base,0,10,81.62450066577897,82.68974700399467,676099575,3.520766032740046e-05,0.0001743376251146,0.009072518879683,2,,
albert-base,0,11,83.22237017310253,82.15712383488682,1654030111,1.243112279075639e-05,4.609245088997075e-05,0.0716995500751005,2,,
albert-base,0,12,81.62450066577897,83.75499334221038,1103841254,6.708475099954624e-06,0.000557168649422,0.0298768900011592,7,,
albert-base,0,13,82.29027962716378,83.08921438082557,1137171688,8.78373088419472e-06,0.0225683426857409,0.0882297286578691,5,,
albert-base,0,14,84.95339547270306,84.28761651131825,1054987559,2.446894740513084e-05,0.0006380613427587,0.0176846625531744,5,,
albert-base,0,15,82.68974700399467,82.15712383488682,1042612050,2.008360067300191e-05,3.002922786729076e-05,0.0615157177482123,2,,
albert-base,0,16,84.55392809587217,82.82290279627163,1643571997,1.6626368298384543e-05,0.0004770117291566,0.0686011458600995,8,,
albert-base,0,17,69.6404793608522,69.2410119840213,38619040,9.134265486626944e-05,5.9541596741718856e-05,0.1145857632484443,5,,
albert-base,0,18,80.69241011984022,82.15712383488682,53996680,5.190475542564355e-06,1.1564820038388746e-05,0.1686048197139336,9,,
albert-base,0,19,82.9560585885486,82.15712383488682,2012392417,3.037899657599953e-05,0.0031559310013419,0.033693367047933,2,,
albert-base,0,20,82.55659121171772,82.55659121171772,1786527377,3.9002949079216296e-05,0.0001209391251801,0.0237593013280828,8,,
albert-base,0,21,83.88814913448735,82.15712383488682,1062510600,2.0689511041839053e-05,5.817012422661626e-05,0.0818570786815834,8,,
albert-base,0,22,84.15446071904128,82.9560585885486,1911894031,5.0935617566020816e-05,0.0837387152852969,0.0973730432985125,6,,
albert-base,0,23,84.02130492676432,84.02130492676432,101968765,3.0184581282203043e-05,0.0003479189024103,0.0194293051737495,8,,
albert-base,0,24,81.62450066577897,82.82290279627163,751596601,1.0961390879817057e-05,5.444970429178071e-05,0.0231701951708503,5,,
albert-base,0,25,80.95872170439414,81.89081225033289,1437622331,1.2931372009996754e-05,0.0681931843428485,0.038675497427715,3,,
albert-base,0,26,83.22237017310253,80.42609853528629,1681108504,6.097789641700611e-05,0.0168556842970416,0.1251458295551892,9,,
albert-base,0,27,83.75499334221038,84.4207723035952,149185564,1.5296908616472237e-05,9.05557884144726e-05,0.1016324442656999,5,,
albert-base,0,28,77.3635153129161,78.29560585885486,1310572277,9.80784664436019e-06,4.931355159794972e-05,0.0870858104960771,9,,
albert-base,0,29,83.75499334221038,84.28761651131825,585798903,3.712183858687836e-05,0.0002795328596596,0.1449549699554424,9,,
albert-base,1,0,79.86577181208054,82.5503355704698,1171862973,9.993436743686996e-05,0.0260801741714698,0.1678238701056591,6,,
albert-base,1,1,82.95302013422818,84.02684563758389,194479767,2.81994697912948e-05,0.002036013760586,0.1277261753677103,7,,
albert-base,1,2,81.87919463087249,83.6241610738255,1312415627,1.476144876896388e-05,0.0478071458885324,0.1768102563873963,6,,
