architecture,run,val_strategy_test_acc,test_strategy_test_acc,gap
albert-base,0,69.51456310679612,69.51456310679612,0.0
albert-base,1,67.77996070726915,70.13752455795678,2.357563850687626
albert-base,2,70.70707070707071,70.70707070707071,0.0
albert-base,3,68.15533980582525,71.84466019417475,3.6893203883495005
albert-base,4,67.61133603238866,67.61133603238866,0.0
albert-base,5,66.66666666666667,66.66666666666667,0.0
albert-base,6,69.98087954110899,69.98087954110899,0.0
albert-base,7,67.1875,69.53125,2.34375
albert-base,8,67.00201207243461,68.61167002012073,1.6096579476861166
albert-base,9,68.3794466403162,68.77470355731225,0.3952569169960469
albert-base,10,71.34502923976608,71.34502923976608,0.0
albert-base,11,68.7128712871287,70.89108910891089,2.1782178217821837
albert-base,12,69.8292220113852,70.96774193548387,1.1385199240986736
albert-base,13,69.39571150097466,72.70955165692008,3.313840155945428
albert-base,14,67.46987951807229,69.47791164658635,2.00803212851406
albert-base,15,64.85943775100401,67.06827309236948,2.2088353413654715
albert-base,16,69.23076923076923,70.61143984220907,1.3806706114398395
albert-base,17,69.48818897637796,69.48818897637796,0.0
albert-base,18,63.96039603960397,66.93069306930693,2.970297029702955
albert-base,19,65.6686626746507,69.66067864271457,3.9920159680638676
albert-base,20,67.16981132075472,67.16981132075472,0.0
albert-base,21,68.97880539499036,68.97880539499036,0.0
albert-base,22,68.6,69.4,0.8000000000000114
albert-base,23,69.46107784431138,73.25349301397206,3.7924151696606856
albert-base,24,71.42857142857143,71.42857142857143,0.0
albert-base,25,66.07142857142857,72.02380952380952,5.952380952380949
albert-base,26,68.93203883495146,68.93203883495146,0.0
albert-base,27,70.2755905511811,72.83464566929133,2.559055118110237
albert-base,28,65.6,70.4,4.800000000000011
albert-base,29,71.0371819960861,73.97260273972603,2.9354207436399236
electra-small,0,64.5224171539961,66.27680311890838,1.7543859649122737
electra-small,1,65.29411764705883,66.27450980392157,0.9803921568627487
electra-small,2,63.18897637795276,66.33858267716535,3.1496062992125857
electra-small,3,63.28125,66.015625,2.734375
electra-small,4,61.71875,66.6015625,4.8828125
electra-small,5,66.73306772908367,66.93227091633466,0.19920318725098696
electra-small,6,65.75342465753425,65.75342465753425,0.0
electra-small,7,66.73189823874755,68.29745596868885,1.565557729941304
electra-small,8,64.42687747035573,65.21739130434783,0.7905138339920939
electra-small,9,67.0611439842209,67.0611439842209,0.0
electra-small,10,66.53543307086615,68.89763779527559,2.3622047244094375
electra-small,11,65.439672801636,65.439672801636,0.0
electra-small,12,67.91338582677166,67.91338582677166,0.0
