architecture,run,trial,val_acc,test_acc,train_seed,lr,weight_decay,warmup_ratio,num_epochs,selected_by_val,selected_by_test
albert-base,0,0,67.37864077669903,65.4368932038835,1434023883,3.2876395580939785e-05,0.0140961500795346,0.1680256206758346,10,,
albert-base,0,1,66.2135922330097,64.66019417475728,1335035199,2.8834210721028265e-05,0.0059749599054693,0.1674021683401957,3,,
albert-base,0,2,50.67961165048544,50.29126213592233,772105435,8.890883119418978e-05,9.52770302029356e-05,0.0729539331610771,5,,
albert-base,0,3,62.33009708737864,60.77669902912621,1910971562,2.832609124331181e-05,0.029765267607796,0.0741440821436016,10,,
albert-base,0,4,63.883495145631066,60.970873786407765,806139203,7.920908798811168e-05,1.744233845100236e-05,0.1684660339675184,9,,
albert-base,0,5,59.80582524271845,57.28155339805825,269093649,9.15267974394258e-06,0.0002048515193667,0.1802017002483749,2,,
albert-base,0,6,51.45631067961165,56.11650485436893,1362177740,5.2827655552349866e-06,0.000216212723593,0.1702411888200155,2,,
albert-base,0,7,50.67961165048544,50.29126213592233,2115280520,6.407230649470522e-05,0.0001394578019173,0.011132107727063,2,,
albert-base,0,8,49.320388349514566,49.70873786407767,65389328,8.29650989858569e-05,0.000252256263088,0.0795294214042797,6,,
albert-base,0,9,53.20388349514563,55.33980582524272,1065973869,1.4407587740726232e-05,0.0023705041559729,0.1664810633414176,10,,
albert-base,0,10,65.04854368932038,62.33009708737864,1586039629,8.684776789379893e-06,2.524480567994324e-05,0.1041242187462079,7,,
albert-base,0,11,62.71844660194175,62.33009708737864,400559259,1.8604748816037467e-05,0.0002050060610824,0.0937475914833532,2,,
albert-base,0,12,56.89320388349515,59.41747572815534,789996190,6.549388902858422e-05,8.184916983156432e-05,0.0108600834425721,4,,
albert-base,0,13,60.970873786407765,57.0873786407767,638288390,5.65828464842e-06,0.0001141420248568,0.1027769153224058,9,,
albert-base,0,14,56.89320388349515,58.44660194174757,1050140358,6.323545055519379e-06,0.003006510183859,0.164299880693628,2,,
albert-base,0,15,55.728155339805824,57.66990291262136,450067709,9.384844359150986e-06,0.0002780975647896,0.1178614124770773,10,,
albert-base,0,16,64.46601941747574,60.58252427184466,1774019900,6.529970726911544e-06,0.0382892420080589,0.0935547371931045,7,,
albert-base,0,17,55.14563106796116,55.14563106796116,1173735775,2.1842768626751485e-05,3.0658299919213146e-05,0.035390432387268,6,,
albert-base,0,18,55.53398058252427,56.50485436893204,1607525171,1.7844899059286617e-05,0.0009462147943386,0.0280043988876913,6,,
albert-base,0,19,68.3495145631068,69.51456310679612,686834313,2.214074358786262e-05,3.228013823076893e-05,0.0153649389526848,4,,
albert-base,0,20,52.03883495145631,53.398058252427184,1473977278,7.333112138186836e-05,0.000786636239719,0.1172007014525836,6,,
albert-base,0,21,54.36893203883495,58.25242718446602,297267396,2.023709616908335e-05,0.0095374010047645,0.127981626688473,3,,
albert-base,0,22,50.48543689320388,49.51456310679612,1288362978,6.184092021255195e-05,0.0712758600287594,0.0984762272041464,6,,
albert-base,0,23,55.728155339805824,54.95145631067961,1503551951,9.909045865801643e-06,0.0069593853685389,0.1276252267003041,3,,
albert-base,0,24,57.86407766990291,60.0,545260317,8.043014599266127e-05,3.667748538952903e-05,0.0937350562727838,8,,
albert-base,0,25,64.85436893203884,61.16504854368932,758759056,6.332967582795568e-06,0.0449537312468261,0.0681594351991786,10,,
albert-base,0,26,64.46601941747574,63.10679611650485,2031044476,4.080076883207728e-05,0.0079569415246435,0.02490387457352,3,,
albert-base,0,27,65.04854368932038,67.96116504854369,1380166521,1.7670779510916477e-05,0.0041838841581326,0.0703616231606407,4,,
albert-base,0,28,56.6990291262136,55.14563106796116,2010255854,5.810686425178195e-06,0.0029936865151515,0.1525157554320394,8,,
albert-base,0,29,59.22330097087379,62.9126213592233,615355959,3.058342863535487e-05,0.0921852047679511,0.1983361131901411,9,,
albert-base,1,0,66.92913385826772,61.49312377210216,1975342966,2.014232003506172e-05,0.009194316295559,0.1851610050731482,7,,
albert-base,1,1,58.66141732283464,55.79567779960707,1269365337,8.03965849807967e-06,0.0221673314943684,0.1367826490956632,9,,
albert-base,1,2,68.50393700787401,70.13752455795678,1172736087,5.215572872025482e-05,0.0002536542757323,0.1559616486813645,9,,
albert-base,1,3,49.40944881889764,51.66994106090373,1157628840,5.366354722863686e-05,0.0206287664021317,0.1011095229800407,7,,
albert-base,1,4,54.724409448818896,56.18860510805501,469976752,1.4999705164327946e-05,1.376645343288248e-05,0.1248073523321475,9,,
albert-base,1,5,55.90551181102362,57.76031434184676,2103555580,6.341797783994048e-05,0.0046558051193343,0.0020251775279201,3,,
albert-base,1,6,52.16535433070866,51.277013752455794,1616138341,2.3514339045639412e-05,0.0744265463851983,0.1173570852465683,4,,
albert-base,1,7,64.37007874015748,64.04715127701375,753601842,8.84042359286657e-06,0.0548656234102166,0.0140522706240903,5,,
albert-base,1,8,53.1496062992126,55.79567779960707,168346133,5.573589426619481e-06,0.0047709538740629,0.0398401394087786,5,,
albert-base,1,9,49.01574803149607,56.385068762278976,1074150440,7.740297103992293e-06,1.7505898674867906e-05,0.0918625656704136,7,,
albert-base,1,10,65.15748031496064,60.90373280943025,1599712186,1.1564522942023506e-05,0.0024050198664295,0.1641271503662267,7,,
albert-base,1,11,63.58267716535433,62.278978388998034,1304095781,5.214242835968334e-06,0.0013482524631387,0.0514168477528731,10,,
