architecture,run,val_strategy_test_acc,test_strategy_test_acc,gap
MLP-Tiny,0,54.47042640990372,54.47042640990372,0.0
MLP-Tiny,1,52.5101763907734,53.595658073270016,1.0854816824966136
MLP-Tiny,2,51.147098515519566,54.52091767881242,3.3738191632928505
MLP-Tiny,3,53.557046979865774,54.76510067114094,1.2080536912751683
MLP-Tiny,4,55.167597765363126,56.00558659217877,0.8379888268156463
MLP-Tiny,5,49.79480164158687,54.44596443228454,4.6511627906976685
MLP-Tiny,6,57.49656121045392,57.49656121045392,0.0
MLP-Tiny,7,54.869684499314126,57.75034293552813,2.8806584362140057
MLP-Tiny,8,54.33604336043361,54.33604336043361,0.0
MLP-Tiny,9,55.42168674698795,56.358768406961175,0.9370816599732237
MLP-Tiny,10,55.223880597014926,55.223880597014926,0.0
MLP-Tiny,11,51.510989010989015,55.63186813186813,4.120879120879117
MLP-Tiny,12,55.710306406685234,55.710306406685234,0.0
MLP-Tiny,13,54.49515905947441,55.32503457814661,0.8298755186721962
MLP-Tiny,14,55.02793296089386,55.02793296089386,0.0
MLP-Tiny,15,52.361673414305,57.2199730094467,4.858299595141695
MLP-Tiny,16,55.96707818930041,55.96707818930041,0.0
MLP-Tiny,17,56.44090305444888,56.44090305444888,0.0
MLP-Tiny,18,53.387533875338754,54.74254742547426,1.355013550135503
MLP-Tiny,19,51.30315500685871,52.674897119341566,1.3717421124828562
MLP-Tiny,20,54.54545454545455,55.902306648575305,1.356852103120758
MLP-Tiny,21,50.654450261780106,53.1413612565445,2.4869109947643935
MLP-Tiny,22,52.63157894736842,54.84764542936288,2.21606648199446
MLP-Tiny,23,54.3859649122807,54.65587044534413,0.26990553306342946
MLP-Tiny,24,56.26702997275204,56.26702997275204,0.0
MLP-Tiny,25,53.37001375515818,53.507565337001374,0.13755158184319072
MLP-Tiny,26,53.38865836791148,53.94190871369295,0.5532503457814713
MLP-Tiny,27,54.630872483221474,55.97315436241611,1.342281879194637
MLP-Tiny,28,52.796725784447474,55.38881309686221,2.5920873124147334
MLP-Tiny,29,56.94822888283379,56.94822888283379,0.0
MLP-Mini,0,58.79120879120879,58.79120879120879,0.0
MLP-Mini,1,53.14207650273224,56.01092896174863,2.868852459016395
MLP-Mini,2,53.20600272851296,56.88949522510232,3.683492496589359
MLP-Mini,3,51.92563081009296,55.90969455511288,3.984063745019917
MLP-Mini,4,57.64075067024129,57.64075067024129,0.0
MLP-Mini,5,57.3490813648294,57.3490813648294,0.0
MLP-Mini,6,52.925170068027214,53.46938775510204,0.544217687074827
MLP-Mini,7,56.95187165775401,58.02139037433155,1.0695187165775408
MLP-Mini,8,53.95973154362416,55.97315436241611,2.013422818791952
MLP-Mini,9,60.0,60.0,0.0
MLP-Mini,10,53.92953929539296,54.607046070460704,0.6775067750677408
MLP-Mini,11,55.70652173913044,55.70652173913044,0.0
MLP-Mini,12,55.11596180081855,55.11596180081855,0.0
MLP-Mini,13,53.65853658536585,56.50406504065041,2.8455284552845583
MLP-Mini,14,51.79063360881543,52.20385674931129,0.41322314049585884
MLP-Mini,15,57.181942544459645,57.181942544459645,0.0
MLP-Mini,16,57.98898071625344,57.98898071625344,0.0
MLP-Mini,17,53.64238410596027,54.83443708609271,1.1920529801324449
MLP-Mini,18,55.858310626703,55.858310626703,0.0
MLP-Mini,19,52.322404371584696,55.87431693989071,3.5519125683060153
MLP-Mini,20,57.142857142857146,57.142857142857146,0.0
MLP-Mini,21,51.686909581646425,55.465587044534416,3.778677462887991
MLP-Mini,22,56.90834473324213,56.90834473324213,0.0
MLP-Mini,23,50.821917808219176,54.65753424657535,3.835616438356176
MLP-Mini,24,53.80434782608695,55.57065217391305,1.7663043478260931
MLP-Mini,25,60.23778071334214,60.23778071334214,0.0
MLP-Mini,26,56.8421052631579,56.8421052631579,0.0
MLP-Mini,27,54.790823211875846,57.75978407557355,2.9689608636977027
MLP-Mini,28,55.82010582010582,55.82010582010582,0.0
MLP-Mini,29,53.21477428180575,53.62517099863201,0.41039671682625567
MLP-Smaller,0,56.55080213903744,57.75401069518717,1.2032085561497325
MLP-Smaller,1,56.4032697547684,58.31062670299728,1.9073569482288804
MLP-Smaller,2,56.17977528089887,59.550561797752806,3.370786516853933
MLP-Smaller,3,56.45604395604396,56.86813186813187,0.4120879120879053
MLP-Smaller,4,53.20855614973262,57.88770053475936,4.6791443850267385
MLP-Smaller,5,55.3475935828877,57.2192513368984,1.8716577540107053
MLP-Smaller,6,53.82513661202186,55.19125683060109,1.3661202185792334
MLP-Smaller,7,58.31099195710456,60.05361930294906,1.7426273458444967
MLP-Smaller,8,56.130790190735695,58.583106267029976,2.452316076294281
MLP-Smaller,9,57.567567567567565,59.18918918918919,1.6216216216216282
MLP-Smaller,10,60.58981233243968,60.58981233243968,0.0
MLP-Smaller,11,56.130790190735695,59.536784741144416,3.405994550408721
MLP-Smaller,12,59.26928281461434,59.8105548037889,0.5412719891745539
MLP-Smaller,13,58.28804347826087,58.83152173913044,0.5434782608695699
MLP-Smaller,14,55.52523874488404,58.663028649386085,3.1377899045020428
MLP-Smaller,15,55.64625850340136,57.006802721088434,1.360544217687071
MLP-Smaller,16,55.87431693989071,57.10382513661202,1.2295081967213122
MLP-Smaller,17,57.45554035567716,58.5499316005472,1.0943912448700388
MLP-Smaller,18,56.724367509986685,56.724367509986685,0.0
MLP-Smaller,19,55.28455284552845,58.13008130081301,2.8455284552845583
MLP-Smaller,20,55.97826086956522,56.92934782608695,0.9510869565217348
MLP-Smaller,21,59.26430517711172,59.536784741144416,0.27247956403269313
MLP-Smaller,22,58.62068965517241,59.44827586206897,0.8275862068965552
MLP-Smaller,23,55.3133514986376,60.21798365122616,4.904632152588562
MLP-Smaller,24,57.80821917808219,58.35616438356164,0.5479452054794507
MLP-Smaller,25,55.374149659863946,58.2312925170068,2.857142857142854
MLP-Smaller,26,58.12417437252312,58.12417437252312,0.0
MLP-Smaller,27,57.66129032258065,57.66129032258065,0.0
MLP-Smaller,28,56.81511470985155,58.29959514170041,1.4844804318488585
MLP-Smaller,29,57.62483130904184,57.62483130904184,0.0
MLP-Small,0,59.42622950819672,60.10928961748634,0.6830601092896202
MLP-Small,1,57.06447187928669,58.29903978052126,1.2345679012345698
MLP-Small,2,55.29573590096286,59.97248968363136,4.676753782668499
MLP-Small,3,56.67574931880109,59.12806539509537,2.452316076294281
MLP-Small,4,56.13793103448276,58.06896551724138,1.9310344827586192
MLP-Small,5,57.86593707250342,59.50752393980848,1.6415868673050582
MLP-Small,6,61.03542234332425,61.03542234332425,0.0
MLP-Small,7,58.32187070151307,58.32187070151307,0.0
MLP-Small,8,55.51075268817204,59.13978494623656,3.6290322580645196
MLP-Small,9,56.79347826086956,57.744565217391305,0.9510869565217419
MLP-Small,10,53.536754507628295,55.75589459084605,2.219140083217752
MLP-Small,11,57.26027397260274,57.53424657534247,0.27397260273973245
MLP-Small,12,55.81717451523546,59.418282548476455,3.6011080332409975
MLP-Small,13,60.60606060606061,60.60606060606061,0.0
MLP-Small,14,59.78260869565217,59.78260869565217,0.0
MLP-Small,15,59.42622950819672,61.47540983606557,2.0491803278688536
MLP-Small,16,58.22102425876011,58.22102425876011,0.0
MLP-Small,17,57.9088471849866,60.99195710455764,3.0831099195710436
MLP-Small,18,58.17438692098093,60.490463215258856,2.316076294277927
MLP-Small,19,56.45161290322581,58.46774193548387,2.016129032258064
MLP-Small,20,64.94565217391305,64.94565217391305,0.0
MLP-Small,21,58.2312925170068,61.08843537414966,2.857142857142861
MLP-Small,22,60.0,60.0,0.0
MLP-Small,23,58.50914205344585,58.79043600562588,0.28129395218002884
MLP-Small,24,58.13008130081301,61.11111111111112,2.9810298102981108
MLP-Small,25,56.326530612244895,57.95918367346939,1.6326530612244952
MLP-Small,26,61.51797603195739,61.51797603195739,0.0
MLP-Small,27,58.016304347826086,59.23913043478261,1.2228260869565233
MLP-Small,28,55.720053835800805,60.69986541049798,4.979811574697173
MLP-Small,29,62.89473684210526,62.89473684210526,0.0
MLP-Base,0,64.33470507544581,65.84362139917695,1.5089163237311425
MLP-Base,1,60.67114093959732,60.939597315436245,0.2684563758389231
MLP-Base,2,60.273972602739725,62.602739726027394,2.328767123287669
MLP-Base,3,64.40217391304348,64.40217391304348,0.0
MLP-Base,4,57.9088471849866,59.78552278820376,1.8766756032171585
MLP-Base,5,57.2192513368984,58.55614973262032,1.3368983957219172
MLP-Base,6,59.94550408719346,59.94550408719346,0.0
MLP-Base,7,58.83940620782726,58.83940620782726,0.0
MLP-Base,8,59.07230559345157,62.21009549795362,3.13778990450205
MLP-Base,9,53.89876880984952,56.77154582763338,2.8727770177838607
MLP-Base,10,57.12328767123287,59.58904109589041,2.465753424657535
MLP-Base,11,61.95054945054945,62.77472527472528,0.8241758241758248
MLP-Base,12,57.7247191011236,61.09550561797753,3.370786516853933
MLP-Base,13,59.15300546448088,59.42622950819672,0.2732240437158424
MLP-Base,14,60.45883940620783,60.45883940620783,0.0
MLP-Base,15,62.10670314637483,62.10670314637483,0.0
MLP-Base,16,60.54054054054054,61.891891891891895,1.3513513513513544
MLP-Base,17,57.18157181571816,59.48509485094851,2.3035230352303486
MLP-Base,18,58.43454790823212,60.1889338731444,1.7543859649122808
MLP-Base,19,59.61800818553888,59.75443383356071,0.13642564802182733
MLP-Base,20,62.76881720430107,62.76881720430107,0.0
MLP-Base,21,57.23951285520975,58.86332882273342,1.6238159675236687
MLP-Base,22,60.989010989010985,63.5989010989011,2.6098901098901166
MLP-Base,23,62.86472148541114,63.39522546419098,0.5305039787798407
MLP-Base,24,60.85164835164835,60.85164835164835,0.0
MLP-Base,25,58.59269282814614,60.48714479025711,1.8944519621109706
MLP-Base,26,60.05361930294906,63.53887399463807,3.4852546916890077
MLP-Base,27,62.51673360107095,63.98929049531459,1.4725568942436382
MLP-Base,28,62.704918032786885,62.704918032786885,0.0
MLP-Base,29,62.86107290233838,63.13617606602476,0.27510316368638144
MLP-Large,0,62.448418156808806,62.585969738652,0.13755158184319072
