architecture,run,trial,val_acc,test_acc,train_seed,lr,lr_decay,weight_decay
MLP-Tiny,0,0,49.38101788170564,47.18019257221458,822272343,0.0003249817532971,0.0,0.0033845447557181
MLP-Tiny,0,1,40.16506189821183,35.488308115543326,373425049,0.0001026315810864,3.8541982771097726e-05,4.739419825453508e-06
MLP-Tiny,0,2,52.68225584594223,48.96836313617607,797243971,0.0014495759002728,0.0002577257440136,2.7396494433754485e-06
MLP-Tiny,0,3,25.44704264099037,24.75928473177441,90217056,0.0001417515624092,0.0009695101498821,2.121591638485405e-06
MLP-Tiny,0,4,54.7455295735901,52.81980742778542,1761569942,0.0874996974819379,0.0025678390893766,0.0004781908944984
MLP-Tiny,0,5,54.195323246217335,50.0687757909216,1996825913,0.0033989209773722,0.0002736399820997,0.0002582768484354
MLP-Tiny,0,6,56.94635488308116,53.645116918844565,1776022485,0.0165539645301571,2.0905241240614423e-05,0.0042811788983031
MLP-Tiny,0,7,32.18707015130674,31.224209078404403,185406598,0.0005665375439426,0.000912861595106,5.972403155326578e-05
MLP-Tiny,0,8,18.43191196698762,17.744154057771663,1703643553,0.0001705301714055,0.0048926236841265,7.163988681593641e-06
MLP-Tiny,0,9,25.722145804676757,24.621733149931224,382363283,0.0004181530643766,0.0030399672977722,0.0005489571239443
MLP-Tiny,1,0,51.22282608695652,46.675712347354136,1167964360,0.0132937097415882,6.01427268279177e-05,1.5715101652766453e-05
MLP-Tiny,1,1,46.875,43.69063772048847,981215514,0.0075100070648438,0.0005518583068024,0.0001496662852698
MLP-Tiny,1,2,52.71739130434783,51.56037991858887,1360869286,0.0450553816564666,0.0016063144938856,0.003023018820128
MLP-Tiny,1,3,53.53260869565217,51.69606512890095,1752733246,0.030686054916261,0.0004154122279749,2.768885441596455e-05
MLP-Tiny,1,4,47.82608695652174,47.21845318860244,62529003,0.0089185832176121,0.002120794173197,0.003240886025949
MLP-Tiny,1,5,50.27173913043478,48.5753052917232,2040615803,0.0140743509455487,0.0,1.0201635252067667e-05
MLP-Tiny,1,6,33.016304347826086,35.14246947082768,1497680588,0.0001391580267921,9.51808494428001e-05,0.0003793523874067
MLP-Tiny,1,7,22.96195652173913,21.98100407055631,659412832,0.0001148784765095,0.001011916569589,0.0010391502219022
MLP-Tiny,1,8,52.58152173913044,51.56037991858887,2087553092,0.0149256478642421,0.000255499447638,0.0007463521192803
MLP-Tiny,1,9,53.53260869565217,52.5101763907734,347799425,0.0412887275241253,0.0013888564917746,0.0001253306373192
MLP-Tiny,2,0,55.54054054054054,54.52091767881242,262752419,0.0422885448342092,0.0004965422517991,0.003629638842253
MLP-Tiny,2,1,55.0,54.25101214574899,1908911283,0.0025367062756801,2.7132714793953052e-05,0.0070302599238175
MLP-Tiny,2,2,49.86486486486486,48.98785425101215,1069669170,0.00299573840775,0.0,0.0001169251961462
MLP-Tiny,2,3,30.81081081081081,29.959514170040485,1135769942,0.0004758624029776,0.001196519479512,2.2468147924662563e-05
MLP-Tiny,2,4,36.08108108108108,38.73144399460189,1607296991,0.0001267236049263,1.4245697477308016e-05,1.8134191998456488e-06
MLP-Tiny,2,5,30.81081081081081,32.658569500674766,1651280740,0.0001297632491289,0.0002994928405177,2.9076311211246795e-06
MLP-Tiny,2,6,25.405405405405407,24.83130904183536,1740597985,0.0001411732228056,0.0011461382584399,4.20154457038004e-06
MLP-Tiny,2,7,51.891891891891895,51.012145748987855,655990163,0.0293513982728493,0.0007353055016867,0.0001527183796405
MLP-Tiny,2,8,41.48648648648648,39.27125506072875,1335512445,0.0001461216232048,1.0245151546690318e-05,5.192628373496156e-05
MLP-Tiny,2,9,55.67567567567568,51.147098515519566,726205297,0.0287611132018765,0.0004331851539808,0.0002259864026094
MLP-Tiny,3,0,48.99328859060402,48.99328859060402,931638242,0.0053585434511214,0.0010706843026409,1.3458505781491805e-06
MLP-Tiny,3,1,51.54362416107382,52.88590604026846,588433341,0.0039940183672367,1.1386276050165288e-05,0.0003452468350264
MLP-Tiny,3,2,52.08053691275168,52.75167785234899,1650548418,0.0024703166667567,0.0,0.0003231254403184
MLP-Tiny,3,3,50.33557046979866,54.36241610738255,498948590,0.0023991341699095,6.928157180991242e-05,0.0010903700364652
MLP-Tiny,3,4,51.54362416107382,54.76510067114094,1014782592,0.0257642709137364,0.0011115072863538,8.859968784678743e-06
MLP-Tiny,3,5,47.11409395973154,51.2751677852349,479240815,0.0041520190337397,4.146212184031305e-05,2.798582435036598e-06
MLP-Tiny,3,6,51.81208053691275,53.02013422818792,128949034,0.0022342094325202,0.0,0.0030406707457094
MLP-Tiny,3,7,27.91946308724832,30.604026845637584,544388922,0.0003426419754329,0.0011542657141985,7.887116007054497e-06
MLP-Tiny,3,8,53.557046979865774,52.61744966442953,1424822316,0.0015325651062081,0.0002716406205788,1.6071428646918865e-05
