architecture,run,val_strategy_test_acc,test_strategy_test_acc,gap
MLP-Giant,0,84.11,84.11,0.0
MLP-Giant,1,84.97,84.97,0.0
MLP-Giant,2,83.92,84.0,0.0799999999999983
MLP-Giant,3,83.68,83.68,0.0
MLP-Giant,4,83.17,83.72,0.5499999999999972
MLP-Giant,5,83.08,83.36,0.28000000000000114
MLP-Giant,6,83.55,83.55,0.0
MLP-Giant,7,82.53,82.75,0.21999999999999886
MLP-Giant,8,84.36,84.36,0.0
MLP-Giant,9,83.64,83.71,0.06999999999999318
MLP-Giant,10,83.97,83.97,0.0
MLP-Giant,11,84.3,84.3,0.0
MLP-Giant,12,83.78,83.78,0.0
MLP-Giant,13,83.78,83.78,0.0
MLP-Giant,14,83.75,83.75,0.0
MLP-Giant,15,84.87,84.87,0.0
MLP-Giant,16,85.02,85.02,0.0
MLP-Giant,17,84.7,84.7,0.0
MLP-Giant,18,83.4,83.97,0.5699999999999932
MLP-Giant,19,83.66,83.66,0.0
MLP-Giant,20,83.48,83.81,0.3299999999999983
MLP-Giant,21,84.14,84.25,0.10999999999999943
MLP-Giant,22,82.98,83.88,0.8999999999999915
MLP-Giant,23,83.35,83.37,0.020000000000010232
MLP-Giant,24,83.52,84.49,0.9699999999999989
MLP-Giant,25,83.24,84.11,0.8700000000000045
MLP-Giant,26,83.16,83.16,0.0
MLP-Giant,27,82.89,82.95,0.060000000000002274
MLP-Giant,28,84.07,84.07,0.0
MLP-Giant,29,82.51,83.24,0.7299999999999898
