architecture,run,trial,val_acc,test_acc,train_seed,lr,lr_decay,weight_decay,selected_by_val,selected_by_test
MLP-Giant,0,0,73.22,74.08,822272343,0.00032498175329713475,0.0,0.003384544755718111,False,False
MLP-Giant,0,1,62.93,63.81,373425049,0.00010263158108647176,0.13693572826281156,4.7394198254535075e-06,False,False
MLP-Giant,0,2,80.07,80.74,797243971,0.0014495759002728663,0.21319924300747975,2.7396494433754485e-06,False,False
MLP-Giant,0,3,65.73,67.06,90217056,0.00014175156240920337,0.2902998672611761,2.121591638485405e-06,False,False
MLP-Giant,0,4,80.4,80.69,1761569942,0.08749969748193791,0.36425473549995313,0.00047819089449841504,False,False
MLP-Giant,0,5,81.64,82.66,1996825913,0.0033989209773722436,0.21619640408155597,0.0002582768484354101,False,False
MLP-Giant,0,6,77.02,77.31,1776022485,0.016553964530157166,0.11874525259980032,0.004281178898303188,False,False
MLP-Giant,0,7,74.66,75.28,185406598,0.0005665375439426138,0.28625609924892154,5.9724031553265784e-05,False,False
MLP-Giant,0,8,69.69,69.75,1703643553,0.00017053017140553596,0.4232883843558457,7.163988681593641e-06,False,False
MLP-Giant,0,9,73.06,73.86,382363283,0.00041815306437667835,0.3788642539935608,0.0005489571239443603,False,False
MLP-Giant,0,10,80.83,81.14,1343537274,0.040973725970163806,0.1950298600192352,0.0005706295850009178,False,False
MLP-Giant,0,11,82.26,82.34,715282679,0.07685191763783442,0.41171370796826,5.431286453519823e-05,False,False
MLP-Giant,0,12,79.06,79.3,1540107333,0.002428640887039684,0.4285027037460202,0.0009633798365909242,False,False
MLP-Giant,0,13,77.26,76.93,306093022,0.002210374016006621,0.0,0.00457370427881773,False,False
MLP-Giant,0,14,82.12,81.95,418701069,0.02843711289798679,0.12855008671522136,5.486286137525483e-05,False,False
MLP-Giant,0,15,66.66,67.36,855254460,0.00016893244693633576,0.13834510924650703,7.484178242804925e-05,False,False
MLP-Giant,0,16,76.7,76.96,750018193,0.0006521491734851608,0.0,4.7473555208420355e-06,False,False
MLP-Giant,0,17,70.7,70.99,2037624400,0.041355056091573306,0.19848901964809731,0.00372280152533225,False,False
MLP-Giant,0,18,69.31,70.07,1915334842,0.000173217711195513,0.4769830463532859,0.0022715852536478185,False,False
MLP-Giant,0,19,81.46,81.84,344423949,0.0024724830969182045,0.14860265677664086,0.00034937249838102203,False,False
MLP-Giant,0,20,73.55,74.66,2075501978,0.007998350863602737,0.2644858045845053,0.005185371771077457,False,False
MLP-Giant,0,21,81.85,82.08,1503050032,0.0028956164096551147,0.13719523355967317,0.00023409068475186757,False,False
MLP-Giant,0,22,75.84,76.23,1374137844,0.0006297280972958018,0.1245432596879857,4.449056341076645e-05,False,False
MLP-Giant,0,23,80.35,80.83,1974614006,0.007565845754041038,0.0,1.580690799975334e-05,False,False
MLP-Giant,0,24,68.5,69.38,780946901,0.00016674075313733103,0.41077974913608795,0.00045533179551717726,False,False
MLP-Giant,0,25,83.02,83.21,55520861,0.003853127828179747,0.0,1.1581245071876429e-05,False,False
MLP-Giant,0,26,82.29,82.39,2121437825,0.00636021270447452,0.2642536993516805,7.039782005442371e-06,False,False
MLP-Giant,0,27,68.18,68.64,2058572524,0.00016693511866358186,0.36522628875173774,2.0638723127575968e-05,False,False
MLP-Giant,0,28,77.31,77.57,911781862,0.0010793997695723338,0.0,0.0009266121608344364,False,False
MLP-Giant,0,29,65.35,66.41,1049710823,0.0002894407504125123,0.38799029240882704,0.0077059788960722585,False,False
MLP-Giant,0,30,79.61,80.36,1975028601,0.002651207249472546,0.0,0.001400159821262665,False,False
MLP-Giant,0,31,81.26,82.13,2096905636,0.008776683596308928,0.1977139396444639,0.00012699426467223097,False,False
MLP-Giant,0,32,80.5,81.28,538446184,0.021660611699568687,0.12432382571855399,8.688799285314134e-06,False,False
MLP-Giant,0,33,70.19,71.11,1763143688,0.0003458392498529348,0.23979676227415334,0.00409100301539553,False,False
MLP-Giant,0,34,77.43,77.23,1429075229,0.0008360662726463272,0.17713756558637855,0.0001375599397840492,False,False
MLP-Giant,0,35,56.99,57.12,292890982,0.04284012881325482,0.0,0.0012303675049622701,False,False
MLP-Giant,0,36,82.38,82.6,1576539231,0.010561405534480695,0.37673700938621896,0.00021579607801844138,False,False
MLP-Giant,0,37,74.21,74.44,2038544249,0.0004008008598455623,0.13716567503465746,0.0001690457050534998,False,False
MLP-Giant,0,38,76.15,76.9,1799180851,0.0007073208245513541,0.10777299187475108,1.6879908720621577e-05,False,False
MLP-Giant,0,39,73.31,74.08,1937535315,0.005333534613789652,0.2835220716187623,0.005822180698969285,False,False
MLP-Giant,0,40,51.97,51.98,63060690,0.09964071723917618,0.0,0.00012990865781060363,False,False
MLP-Giant,0,41,56.54,57.38,572799744,0.03361568697274817,0.0,0.0021988388179880174,False,False
MLP-Giant,0,42,83.36,84.11,1917534502,0.0034430140604835274,0.0,7.238082611566587e-06,True,True
MLP-Giant,0,43,79.97,81.25,962578108,0.04547819250661767,0.2074173310054483,5.8341338492741285e-05,False,False
MLP-Giant,0,44,73.78,74.71,283119824,0.0013897331566755271,0.2822341606193888,0.006270108331027891,False,False
MLP-Giant,0,45,81.28,80.71,1726120065,0.007933983004439184,0.17562782964399937,0.0010868753449892901,False,False
MLP-Giant,0,46,79.74,80.52,1159473870,0.0431248735800265,0.23068331249923468,8.275412835383287e-05,False,False
MLP-Giant,0,47,77.67,77.51,1845856800,0.01034260648305253,0.0,2.7974084013493854e-06,False,False
MLP-Giant,0,48,78.13,78.58,356192560,0.024332336572585846,0.11708286579928052,0.002959430083759723,False,False
MLP-Giant,0,49,70.23,70.86,1213309596,0.08522888335661495,0.4419150940593481,0.0017021164876543516,False,False
MLP-Giant,0,50,74.48,74.52,1142828079,0.00047395069719037927,0.18472623318260928,1.6010517680123877e-05,False,False
MLP-Giant,0,51,74.97,75.41,1274786885,0.0005603449571522318,0.1979034038976685,0.00025468005398385506,False,False
