architecture,run,gap,gap_category,same_trial,val_trial,val_lr,val_lr_decay,val_weight_decay,val_pick_val_acc,val_pick_test_acc,test_trial,test_lr,test_lr_decay,test_weight_decay,test_pick_val_acc,test_pick_test_acc
MLP-Giant,0,0.0,zero,True,42,0.0034430140604835,0.0,7.238082611566587e-06,83.36,84.11,42,0.0034430140604835,0.0,7.238082611566587e-06,83.36,84.11
MLP-Giant,1,0.0,zero,True,9,0.0412887275241253,0.3156586860917501,0.0001253306373192,84.45,84.97,9,0.0412887275241253,0.3156586860917501,0.0001253306373192,84.45,84.97
MLP-Giant,2,0.0799999999999983,positive,False,48,0.0464385847443646,0.2398113027562851,0.0002280316994601,84.26,83.92,53,0.0044835830235242,0.2365455180525902,1.506912465269522e-05,83.8,84.0
MLP-Giant,3,0.0,zero,True,39,0.0026548812757873,0.0,0.0003811432942346,84.03,83.68,39,0.0026548812757873,0.0,0.0003811432942346,84.03,83.68
MLP-Giant,4,0.5499999999999972,positive,False,6,0.0050185605307224,0.30503784980424,1.6882958838316894e-06,82.84,83.17,89,0.0032050350052323,0.1491957657634462,1.6292512919105285e-06,82.18,83.72
MLP-Giant,5,0.2800000000000011,positive,False,68,0.0686212732943692,0.3118465846212144,4.989447228497741e-05,83.75,83.08,65,0.0049965733138826,0.0,0.0003396996572115,82.97,83.36
MLP-Giant,6,0.0,zero,True,1,0.0029137189772268,0.0,4.1613070126867945e-05,83.49,83.55,1,0.0029137189772268,0.0,4.1613070126867945e-05,83.49,83.55
MLP-Giant,7,0.2199999999999988,positive,False,10,0.0057774477508766,0.4931815412680094,2.346980656384542e-06,83.36,82.53,57,0.0185714576397812,0.3443894455317722,0.0001079754242118,82.34,82.75
MLP-Giant,8,0.0,zero,True,34,0.0032897455315789,0.0,3.6537043669716847e-06,83.84,84.36,34,0.0032897455315789,0.0,3.6537043669716847e-06,83.84,84.36
MLP-Giant,9,0.0699999999999931,positive,False,57,0.0057899064576547,0.4937076396164285,0.0001561004911598,84.27,83.64,26,0.0028168409861193,0.2928896438340025,1.1382365360479556e-06,83.23,83.71
MLP-Giant,10,0.0,zero,True,17,0.0036468305533219,0.0,3.7690319186523807e-06,83.56,83.97,17,0.0036468305533219,0.0,3.7690319186523807e-06,83.56,83.97
MLP-Giant,11,0.0,zero,True,23,0.0319780691111739,0.3436633664753583,5.388697634809453e-05,84.59,84.3,23,0.0319780691111739,0.3436633664753583,5.388697634809453e-05,84.59,84.3
MLP-Giant,12,0.0,zero,True,26,0.0032530726245131,0.1738453115502803,3.7403398791249136e-05,83.05,83.78,26,0.0032530726245131,0.1738453115502803,3.7403398791249136e-05,83.05,83.78
MLP-Giant,13,0.0,zero,True,54,0.0817904292819479,0.3598556356721316,3.922959628573386e-05,83.64,83.78,54,0.0817904292819479,0.3598556356721316,3.922959628573386e-05,83.64,83.78
MLP-Giant,14,0.0,zero,True,93,0.0070268875143724,0.4081055735752058,0.0003135051291642,83.66,83.75,93,0.0070268875143724,0.4081055735752058,0.0003135051291642,83.66,83.75
MLP-Giant,15,0.0,zero,True,46,0.0216328100358925,0.480378721400796,8.284960144446653e-05,84.09,84.87,46,0.0216328100358925,0.480378721400796,8.284960144446653e-05,84.09,84.87
MLP-Giant,16,0.0,zero,True,97,0.0402079538293263,0.2335222793042284,0.0001585747683902,84.31,85.02,97,0.0402079538293263,0.2335222793042284,0.0001585747683902,84.31,85.02
MLP-Giant,17,0.0,zero,True,10,0.0573447014080365,0.4850470939595723,3.519138581409901e-05,84.5,84.7,10,0.0573447014080365,0.4850470939595723,3.519138581409901e-05,84.5,84.7
